time_iso8601,forks_cumulative
2022-04-13 00:00:00+00:00,1
2022-11-02 00:00:00+00:00,2
2022-11-11 00:00:00+00:00,3
2023-03-03 00:00:00+00:00,4
2023-04-18 00:00:00+00:00,5
2023-06-05 00:00:00+00:00,6
2023-06-09 00:00:00+00:00,7
2023-07-28 00:00:00+00:00,8
2023-08-01 00:00:00+00:00,10
2023-08-07 00:00:00+00:00,11
2024-03-06 00:00:00+00:00,12
2024-03-11 00:00:00+00:00,13
2024-09-28 00:00:00+00:00,14
2024-09-30 00:00:00+00:00,15
2024-10-10 00:00:00+00:00,16
2024-11-02 00:00:00+00:00,17
2025-01-18 00:00:00+00:00,18
2025-03-12 00:00:00+00:00,19
2025-03-15 00:00:00+00:00,20
2025-06-17 00:00:00+00:00,21
2025-06-25 00:00:00+00:00,22
2025-07-02 00:00:00+00:00,23
2025-08-05 00:00:00+00:00,24
2025-10-08 00:00:00+00:00,25
2025-11-14 00:00:00+00:00,26
2025-11-24 00:00:00+00:00,27
2025-11-27 00:00:00+00:00,28
2025-12-02 00:00:00+00:00,29
2026-01-27 00:00:00+00:00,30
2026-02-10 00:00:00+00:00,31
2026-03-19 00:00:00+00:00,32
2026-04-01 00:00:00+00:00,33
2026-04-09 00:00:00+00:00,34
2026-05-04 00:00:00+00:00,35
