url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,126,63
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,62,39
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,26,20
/PetervanLunteren/AddaxAI/blob/main/README.md,19,6
/PetervanLunteren/AddaxAI/releases,18,12
/PetervanLunteren/AddaxAI/issues,14,7
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,13,12
/PetervanLunteren/AddaxAI/tree/main,12,9
/PetervanLunteren/AddaxAI/tree/main/install_files,11,11
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,11,6
