time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,12,6,22,12
2026-06-30 00:00:00+00:00,13,5,9,7
2026-07-01 00:00:00+00:00,26,14,54,18
2026-07-02 00:00:00+00:00,18,9,22,11
2026-07-03 00:00:00+00:00,11,4,17,9
2026-07-04 00:00:00+00:00,43,19,8,8
2026-07-05 00:00:00+00:00,11,7,9,7
2026-07-06 00:00:00+00:00,26,12,16,10
2026-07-07 00:00:00+00:00,34,11,20,11
2026-07-08 00:00:00+00:00,9,5,49,22
2026-07-09 00:00:00+00:00,20,11,27,19
2026-07-10 00:00:00+00:00,32,22,32,9
2026-07-11 00:00:00+00:00,14,8,5,5
2026-07-12 00:00:00+00:00,22,11,4,4
